Award ID,source_type,recipient,value,savings,status,source_url,description,agency
80ARC023CA004,Contract,"Trustees Of Columbia University In The City Of New York, The",,,,,Termination for convenience - contract to extend longevity of 3d tissues and microphysiological systems for modeling of acute and chronic exposures to stressors in support of HQ/SMD.,National Aeronautics and Space Administration
80GSFC22CA021,Contract,"Newton, L.L.C.",,,,,"Termination for convenience agreement - capture, containment return system (CCRS) capture lid mechanism (clm)",National Aeronautics and Space Administration
80GSFC23CA005,Contract,Southwest Research Institute,,,,,Complete termination for convenience of NASA Geospace Dynamics Constellation (GDC) comprehensive auroral precipitation experiment (cape),National Aeronautics and Space Administration
80GSFC23PA006,Contract,"Malin Space Science Systems, Inc.",,,,,"Termination for convenience agreement - Mars Sample Return campaign capture, containment, and return sample (CCRS) camera",National Aeronautics and Space Administration
80HQTR21F0124,Contract,"Overlook Systems Technologies, Inc.",,,,,Stop work notice issued with notification of intent to terminate for convenience - policy and strategic communications (psc) support for NASA space communications and navigation (scan) program.,National Aeronautics and Space Administration
80HQTR24F0012,Contract,"Icf Incorporated, L.L.C.",,,,,Stop work notice issued with notification of intent to terminate for convience - support for the technical unit for seventh assessment of the intergovernmental panel on climate change,National Aeronautics and Space Administration
80HQTR24F0037,Contract,"Icf Incorporated, L.L.C.",,,,,Stop work noticed issued with notification of intent to terminate for convience - to provide a scope for specialized support services for two climate services personnel to the u.s. global change research program,National Aeronautics and Space Administration
80HQTR24F0046,Contract,Barrios Technology Ltd,,,,,"Stop work notice issued with notification of intent to terminate for convenience - strategic planning, analysis, and programmatic support for.planetary sciences division.HQ Science Mission Directorate",National Aeronautics and Space Administration
80HQTR24F0064,Contract,Barrios Technology Ltd,,,,,Stop work notice issued with notification of intent to terminate for convenience - MSD risk management,National Aeronautics and Space Administration
80HQTR24F0070,Contract,Barrios Technology Ltd,,,,,"Stop work notice issued with notification of intent to terminate for convenience- ODEO mission support enterprise offices.  supporting the civil rights complaint process, adjudication procedures, compliance activities, a civil rights compliance.",National Aeronautics and Space Administration
80HQTR24F0071,Contract,Barrios Technology Ltd,,,,,Stop work notice issued with notification of intent to terminate for convenience-ODEO mission support enterprise offices. ..leveraging the expertise of an ..administrative operations specialist.,National Aeronautics and Space Administration
80HQTR24F0073,Contract,Barrios Technology Ltd,,,,,Stop work notice issued with notification of intent to terminate for convenience - ESDMD integration and administrative support.,National Aeronautics and Space Administration
80HQTR24F0074,Contract,Barrios Technology Ltd,,,,,Stop work notice issued with notification of intent to terminate for convenience- ODEO mission support enterprise offices.      will be responsible for overseeing and managing the successful execution of the following special projects:,National Aeronautics and Space Administration
80HQTR24FA038,Contract,"Crown Consulting, Inc.",,,,,"Stop work notice issued with notification of intent to terminate for convience - data visualization of performance ratingsaeronautics research mission directorate, office of the Associate Administrator",National Aeronautics and Space Administration
80HQTR25FA007,Contract,Science Applications International Corporation,,,,,"Stop work notice issued with notification of intent to terminate for convience - review, validate, and advise on draft plan, messaging and branding of the plan, plan implementation analysis and recommendations, rollout & metrics",National Aeronautics and Space Administration
80JSC022CA012,Contract,"Flawless Photonics, Inc.",,,,,Termination notice issued: in space production applications (inspa) - fabrication of flawlesspreforms in microgravity for OA directorate,National Aeronautics and Space Administration
80JSC024FA083,Contract,Booz Allen Hamilton Inc,,,,,Termination for convenience agreement - speacii - task order 84 - NASA ODEO DEIA data analytics and assessment,National Aeronautics and Space Administration
80JSC024FA135,Contract,Booz Allen Hamilton Inc,,,,,Stop work notice issued with notification of intent to terminate for convenience terminated iaw EO 14151-strategic professional engineering assessment contract II (speac II),National Aeronautics and Space Administration
80LARC19F0086,Contract,Cornell Technical Services Llc,,,,,"Management, cost and schedule evaluation support for the Radiation Budget Instrument (RBI) termination settlement cost proposal.",National Aeronautics and Space Administration
80LARC21F0053,Contract,Cornell Technical Services Llc,,,,,RBI termination settlement proposal support,National Aeronautics and Space Administration
80LARC24F0039,Contract,The Aerospace Corporation,,,,,Termination for convenience agreement - NASA Engineering and Safety Center's (NESC) team to guise future human-rated Spacecraft providers on designing and verifying a Spacecraft fire system.,National Aeronautics and Space Administration
80LARC25F7003,Contract,The Aerospace Corporation,,,,,Termination for convenience agreement- NASA Engineering and Safety Center's (NESC) environmental control and life support (ECLSS) technical discipline team (tdt).,National Aeronautics and Space Administration
80LARC25F7011,Contract,Cornell Technical Services Llc,,,,,Stop work notice issued with notification of intent to terminate for convenience - 2025 astrophysics division senior review,National Aeronautics and Space Administration
80LARC25F7014,Contract,Cornell Technical Services Llc,,,,,"Surface management, cost, and schedule evaluation support for the Radiation Budget Instrument (RBI) termination settlement cost proposal",National Aeronautics and Space Administration
80NM0018F0566,Contract,California Institute Of Technology,,,,,Stop work notice issued with notification of intent to terminate for convenience - office of chief technologist (oct) strategic integration for SMD directorate,National Aeronautics and Space Administration
80NM0018F0669,Contract,California Institute Of Technology,,,,,Stop work order issued with notification of intent to terminate for convenience - geostationary carbon cycle observatory (geocarb) pre-phase a and phase a (87-700073) for SMD directorate,National Aeronautics and Space Administration
80NM0019F0075,Contract,California Institute Of Technology,,,,,Termination for convenience agreement - mars to moon engineering support for xyz directorate,National Aeronautics and Space Administration
80NSSC19K0326,Grant,President And Fellows Of Harvard College,,,,,"The termination has been vacated and set aside pursuant to the order entered on september 3, 2025, in president and fellows of harvard college v. us department of health and human services et AL., 1:25-CV-11048 (d. mass).there is a compelling need for intensive study of convective impacts on the summer stratosphere over north america. each summer the north american monsoon anticyclone (nama) dominates the circulation of the north-western hemisphere and acts to partially confine and isolate air from the surrounding atmosphere. strong convective storms in the nama regularly penetrate deep into the lower stratosphere (LS), with some ascending above 20 km (~450 k potential temperature). the uniqueness of the nama region is most easily seen in satellite measurements of water vapor, which show a large enhancement in the LS over north america not seen either in magnitude or at such high latitudes elsewhere around the GLOBE. but the coupling of tropopause-penetrating convection with large-scale monsoonal motion is poorly understood, AS is the impact of convection on the chemical composition of the LS, both in monsoon regions and in the global stratosphere, which receives inputs of moist and polluted monsoon air from the nama. the Dynamics and Chemistry of the Summer Stratosphere (DCOTSS) proposal directly addresses this knowledge gap.",National Aeronautics and Space Administration
